Institution Name,Cert,FIN,Location,Effective Date,Ins. Fund,Transaction Type,Charter Class,Failure / Assistance,Total Deposits,Total Assets,Estimated Loss,City,ST,Acquiring Institution,lat,lng
ALLIED BANK,91,10522,"MULBERRY, AR",9/23/2016,DIF,PA ,SM ,FAILURE,"64,713","66,336","6,880",Mulberry,AR,Today's Bank,35.500642,-94.051592
THE WOODBURY BANKING COMPANY,11297,10521,"WOODBURY, GA",8/19/2016,DIF,PA ,NM ,FAILURE,"21,122","21,426","5,225",Woodbury,GA,United Bank,32.983739,-84.582703
FIRST CORNERSTONE BANK,35312,10520,"KING OF PRUSSIA, PA",5/6/2016,DIF,PA ,NM ,FAILURE,"101,040","103,307","12,482",King of Prussia,PA,First-Citizens Bank & Trust Company,40.101286,-75.383553
TRUST COMPANY BANK,9956,10519,"MEMPHIS, TN",4/29/2016,DIF,PA ,NM ,FAILURE,"20,148","18,998","10,931",Memphis,TN,The Bank of Fayette County,35.149534,-90.04898
NORTH MILWAUKEE STATE BANK,20364,10518,"MILWAUKEE, WI",3/11/2016,DIF,PA ,NM ,FAILURE,"61,493","67,115","11,846",Milwaukee,WI,First-Citizens Bank & Trust Company,43.038902,-87.906474
HOMETOWN NATIONAL BANK,35156,10517,"LONGVIEW, WA",10/2/2015,DIF,PA ,N ,FAILURE,"3,705","3,785","1,615",Longview,WA,Twin City Bank,46.138168,-122.938167
THE BANK OF GEORGIA,35259,10516,"PEACHTREE CITY, GA",10/2/2015,DIF,PA ,NM ,FAILURE,"264,234","286,102","28,610",Peachtree City,GA,Fidelity Bank,33.396856,-84.596343
PREMIER BANK,34112,10515,"DENVER, CO",7/10/2015,DIF,PA ,SM ,FAILURE,"25,480","26,760","4,262",Denver,CO,"United Fidelity Bank, fsb",39.739236,-104.990251
EDGEBROOK BANK,57772,10514,"CHICAGO, IL",5/8/2015,DIF,PA ,NM ,FAILURE,"90,007","90,034","22,216",Chicago,IL,Republic Bank of Chicago,41.878114,-87.629798
CAPITOL CITY BANK & TRUST COMPANY,33938,10512,"ATLANTA, GA",2/13/2015,DIF,PA ,NM ,FAILURE,"262,652","272,311","99,487",Atlanta,GA,First-Citizens Bank & Trust Company,33.748995,-84.387982
HIGHLAND COMMUNITY BANK,20290,10511,"CHICAGO, IL",1/23/2015,DIF,PA ,NM ,FAILURE,"53,453","54,727","5,571",Chicago,IL,"United Fidelity Bank, fsb",41.878114,-87.629798
FIRST NATIONAL BANK OF CRESTVIEW,17557,10510,"CRESTVIEW, FL",1/16/2015,DIF,PA ,N ,FAILURE,"73,199","73,804","6,891",Crestview,FL,First NBC Bank,30.754181,-86.572799
NORTHERN STAR BANK,34983,10509,"MANKATO, MN",12/19/2014,DIF,PA ,NM ,FAILURE,"18,221","18,794","6,005",Mankato,MN,BankVista,44.163578,-93.9994
"FRONTIER BANK, FSB",34738,10508,"PALM DESERT, CA",11/7/2014,DIF,PA ,SA ,FAILURE,"76,344","80,736","2,905",Palm Desert,CA,"Bank of Southern California, N.A.",33.722245,-116.374456
THE NATIONAL REPUBLIC BANK OF CHICAGO,916,10507,"CHICAGO, IL",10/24/2014,DIF,PA ,N ,FAILURE,"809,638","843,118","56,947",Chicago,IL,State Bank of Texas,41.878114,-87.629798
NBRS FINANCIAL BANK,4862,10506,"RISING SUN, MD",10/17/2014,DIF,PA ,SM ,FAILURE,"151,559","155,353","20,027",Rising Sun,MD,Howard Bank,39.697887,-76.062727
"GREENCHOICE BANK, FSB",28462,10505,"CHICAGO, IL",7/25/2014,DIF,PA ,SA ,FAILURE,"68,722","70,286","18,412",Chicago,IL,"Providence Bank, LLC",41.878114,-87.629798
EASTSIDE COMMERCIAL BANK,58125,10504,"CONYERS, GA",7/18/2014,DIF,PA ,NM ,FAILURE,"166,875","173,946","38,334",Conyers,GA,Community & Southern Bank,33.66761,-84.01769
THE FREEDOM STATE BANK,12483,10503,"FREEDOM, OK",6/27/2014,DIF,PA ,NM ,FAILURE,"20,855","22,816","4,663",Freedom,OK,Alva State Bank & Trust Company,36.76892,-99.112879
